"bfs";"zip";"town";"canton";"locale";"zip-share"
6621;1200;"Genève";"GE";"fr";100
371;2500;"Biel/Bienne";"BE";"de";100
371;2501;"Biel/Bienne";"BE";"de";100
351;3000;"Bern";"BE";"de";100
351;3001;"Bern";"BE";"de";100
351;3002;"Bern";"BE";"de";100
351;3003;"Bern";"BE";"de";100
2701;4000;"Basel";"BS";"de";100
1061;6000;"Luzern";"LU";"de";100
1061;6001;"Luzern";"LU";"de";100
1061;6002;"Luzern";"LU";"de";100
261;8000;"Zürich";"ZH";"de";100
5063;6781;Bedretto;"TI";"it";100
5121;6644;"Orselina";"TI";"it";100
