plz,bfs,canton,village,zip-share
8914,1,ZH,Aeugst am Albis,100
8914,1,ZH,Aeugstertal,100
8909,2,ZH,Zwillikon,100
8910,2,ZH,Affoltern am Albis,100
8906,3,ZH,Bonstetten,100
8915,4,ZH,Hausen am Albis,100
8925,4,ZH,Ebertswil,100
8908,5,ZH,Hedingen,100
8926,6,ZH,Kappel am Albis,100
8926,6,ZH,Hauptikon,100
8926,6,ZH,Uerzlikon,100
8934,7,ZH,Knonau,100
8933,8,ZH,Maschwanden,100
8932,9,ZH,Mettmenstetten,100
8912,10,ZH,Obfelden,100
8913,11,ZH,Ottenbach,100
8911,12,ZH,Rifferswil,100
8143,13,ZH,Stallikon,100
8143,13,ZH,Uetliberg,100
8907,14,ZH,Wettswil,100
8452,21,ZH,Adlikon b. Andelfingen,100
8463,22,ZH,Benken ZH,100
8415,23,ZH,Berg am Irchel,100
8415,23,ZH,Gräslikon,100
8414,24,ZH,Buch am Irchel,100
8447,25,ZH,Dachsen,100
8458,26,ZH,Dorf,100
8245,27,ZH,Feuerthalen,100
8246,27,ZH,Langwiesen,100
8416,28,ZH,Flaach,100
8247,29,ZH,Flurlingen,100
8450,30,ZH,Andelfingen,100
8444,31,ZH,Henggart,100
8457,32,ZH,Humlikon,100
8451,33,ZH,Kleinandelfingen,100
8453,33,ZH,Alten,100
8461,33,ZH,Oerlingen,100
8212,34,ZH,Nohl,100
8248,34,ZH,Uhwiesen,100
8460,35,ZH,Marthalen,100
8464,35,ZH,Ellikon am Rhein,100
8475,37,ZH,Ossingen,100
8462,38,ZH,Rheinau,100
8478,39,ZH,Thalheim an der Thur,100
8465,40,ZH,Rudolfingen,100
8465,40,ZH,Wildensbuch,100
8466,40,ZH,Trüllikon,100
8467,41,ZH,Truttikon,100
8459,43,ZH,Volken,100
8184,51,ZH,Bachenbülach,100
8303,52,ZH,Bassersdorf,100
8180,53,ZH,Bülach,100
8305,54,ZH,Dietlikon,100
8193,55,ZH,Eglisau,100
8424,56,ZH,Embrach,100
8427,57,ZH,Freienstein,100
8428,57,ZH,Teufen ZH,100
8192,58,ZH,Glattfelden,100
8192,58,ZH,Zweidlen,100
8182,59,ZH,Hochfelden,100
8181,60,ZH,Höri,100
8194,61,ZH,Hüntwangen,100
8302,62,ZH,Kloten,100
8426,63,ZH,Lufingen,100
8309,64,ZH,Nürensdorf,100
8425,65,ZH,Oberembrach,100
8152,66,ZH,Glattbrugg,100
8152,66,ZH,Opfikon,100
8152,66,ZH,Glattpark (Opfikon),100
8197,67,ZH,Rafz,100
8427,68,ZH,Rorbas,100
8304,69,ZH,Wallisellen,100
8195,70,ZH,Wasterkingen,100
8196,71,ZH,Wil ZH,100
8185,72,ZH,Winkel,100
8164,81,ZH,Bachs,100
8113,82,ZH,Boppelsen,100
8107,83,ZH,Buchs ZH,100
8108,84,ZH,Dällikon,100
8114,85,ZH,Dänikon ZH,100
8157,86,ZH,Dielsdorf,100
8115,87,ZH,Hüttikon,100
8173,88,ZH,Neerach,100
8172,89,ZH,Niederglatt ZH,100
8155,90,ZH,Niederhasli,100
8155,90,ZH,Nassenwil,100
8156,90,ZH,Oberhasli,100
8166,91,ZH,Niederweningen,100
8154,92,ZH,Oberglatt ZH,100
8165,93,ZH,Oberweningen,100
8112,94,ZH,Otelfingen,100
